date,Depth,Variables,Values
2021-01-15T10:14:50Z,0.251,AbsPressure,104.293
2021-01-15T10:15:00Z,0.278,Temperature,29
2021-01-15T10:15:00Z,0.278,Salinity,34.0320025
2021-01-15T10:15:00Z,0.278,AbsPressure,104.569
2021-01-15T10:15:10Z,0.258,Temperature,28.93
2021-01-15T10:15:10Z,0.258,Salinity,34.05866296
2021-01-15T10:15:10Z,0.258,AbsPressure,104.362
2021-01-15T10:15:20Z,0.304,Temperature,28.83
2021-01-15T10:15:20Z,0.304,Salinity,33.9877942
2021-01-15T10:15:20Z,0.304,AbsPressure,104.827
2021-01-15T10:15:30Z,0.256,Temperature,28.73
2021-01-15T10:15:30Z,0.256,Salinity,33.94381388
2021-01-15T10:15:30Z,0.256,AbsPressure,104.345
2021-01-15T10:15:40Z,0.271,Temperature,28.66
2021-01-15T10:15:40Z,0.271,Salinity,33.9970708
2021-01-15T10:15:40Z,0.271,AbsPressure,104.5
2021-01-15T10:15:50Z,0.273,Temperature,28.7
2021-01-15T10:15:50Z,0.273,Salinity,33.98828768
2021-01-15T10:15:50Z,0.273,AbsPressure,104.517
2021-01-15T10:16:00Z,0.268,Temperature,28.71
2021-01-15T10:16:00Z,0.268,Salinity,33.95807971
2021-01-15T10:16:00Z,0.268,AbsPressure,104.465
2021-01-15T10:16:10Z,0.256,Temperature,28.72
2021-01-15T10:16:10Z,0.256,Salinity,33.97729037
2021-01-15T10:16:10Z,0.256,AbsPressure,104.345
2021-01-15T10:16:20Z,0.259,Temperature,28.72
2021-01-15T10:16:20Z,0.259,Salinity,34.04321051
2021-01-15T10:16:20Z,0.259,AbsPressure,104.379
2021-01-15T10:16:30Z,0.251,Temperature,28.73
2021-01-15T10:16:30Z,0.251,Salinity,34.0129951
2021-01-15T10:16:30Z,0.251,AbsPressure,104.293
2021-01-15T10:16:40Z,0.275,Temperature,28.76
2021-01-15T10:16:40Z,0.275,Salinity,34.01462218
2021-01-15T10:16:40Z,0.275,AbsPressure,104.534
2021-01-15T10:16:50Z,0.259,Temperature,28.76
2021-01-15T10:16:50Z,0.259,Salinity,33.99485241
2021-01-15T10:16:50Z,0.259,AbsPressure,104.379
2021-01-15T10:17:00Z,0.289,Temperature,28.76
2021-01-15T10:17:00Z,0.289,Salinity,33.99485276
2021-01-15T10:17:00Z,0.289,AbsPressure,104.672
2021-01-15T10:17:10Z,0.312,Temperature,28.76
2021-01-15T10:17:10Z,0.312,Salinity,33.97180548
2021-01-15T10:17:10Z,0.312,AbsPressure,104.913
2021-01-15T10:17:20Z,0.256,Temperature,28.71
2021-01-15T10:17:20Z,0.256,Salinity,33.97121134
2021-01-15T10:17:20Z,0.256,AbsPressure,104.345
2021-01-15T10:17:30Z,0.283,Temperature,28.71
2021-01-15T10:17:30Z,0.283,Salinity,33.98771505
2021-01-15T10:17:30Z,0.283,AbsPressure,104.62
2021-01-15T10:17:40Z,0.283,Temperature,28.73
2021-01-15T10:17:40Z,0.283,Salinity,33.95037991
2021-01-15T10:17:40Z,0.283,AbsPressure,104.62
2021-01-15T10:17:50Z,0.265,Temperature,28.77
2021-01-15T10:17:50Z,0.265,Salinity,33.994275879999996
2021-01-15T10:17:50Z,0.265,AbsPressure,104.431
2021-01-15T10:18:00Z,0.297,Temperature,28.79
2021-01-15T10:18:00Z,0.297,Salinity,33.9998566
2021-01-15T10:18:00Z,0.297,AbsPressure,104.758
2021-01-15T10:18:10Z,0.28,Temperature,28.79
2021-01-15T10:18:10Z,0.28,Salinity,34.00313494
2021-01-15T10:18:10Z,0.28,AbsPressure,104.586
2021-01-15T10:18:20Z,0.273,Temperature,28.81
2021-01-15T10:18:20Z,0.273,Salinity,33.99542009
2021-01-15T10:18:20Z,0.273,AbsPressure,104.517
2021-01-15T10:18:30Z,0.271,Temperature,28.81
2021-01-15T10:18:30Z,0.271,Salinity,33.98559055
2021-01-15T10:18:30Z,0.271,AbsPressure,104.5
2021-01-15T10:18:40Z,0.256,Temperature,28.82
2021-01-15T10:18:40Z,0.256,Salinity,33.95862498
2021-01-15T10:18:40Z,0.256,AbsPressure,104.345
2021-01-15T10:18:50Z,0.254,Temperature,28.81
2021-01-15T10:18:50Z,0.254,Salinity,33.93617565
2021-01-15T10:18:50Z,0.254,AbsPressure,104.327
2021-01-15T10:19:00Z,0.266,Temperature,28.73
2021-01-15T10:19:00Z,0.266,Salinity,33.64676235
2021-01-15T10:19:00Z,0.266,AbsPressure,104.448
2021-01-15T10:19:10Z,0.261,Temperature,28.82
2021-01-15T10:19:10Z,0.261,Salinity,33.86338375
2021-01-15T10:19:10Z,0.261,AbsPressure,104.396
2021-01-15T10:19:20Z,0.278,Temperature,28.77
2021-01-15T10:19:20Z,0.278,Salinity,33.68663324
2021-01-15T10:19:20Z,0.278,AbsPressure,104.569
2021-01-15T10:19:30Z,0.266,Temperature,28.7
2021-01-15T10:19:30Z,0.266,Salinity,33.50649011
2021-01-15T10:19:30Z,0.266,AbsPressure,104.448
2021-01-15T10:19:40Z,0.299,Temperature,28.73
2021-01-15T10:19:40Z,0.299,Salinity,33.43074265
2021-01-15T10:19:40Z,0.299,AbsPressure,104.775
2021-01-15T10:19:50Z,0.256,Temperature,28.73
2021-01-15T10:19:50Z,0.256,Salinity,33.4115619
2021-01-15T10:19:50Z,0.256,AbsPressure,104.345
2021-01-15T10:20:00Z,0.265,Temperature,28.79
2021-01-15T10:20:00Z,0.265,Salinity,33.79626917
2021-01-15T10:20:00Z,0.265,AbsPressure,104.431
2021-01-15T10:20:10Z,0.287,Temperature,28.82
2021-01-15T10:20:10Z,0.287,Salinity,33.85683781
2021-01-15T10:20:10Z,0.287,AbsPressure,104.655
2021-01-15T10:20:20Z,0.272,Temperature,28.83
2021-01-15T10:20:20Z,0.272,Salinity,33.86283059
2021-01-15T10:20:20Z,0.272,AbsPressure,104.502
2021-01-15T10:20:30Z,0.282,Temperature,28.83
2021-01-15T10:20:30Z,0.282,Salinity,33.91866908
2021-01-15T10:20:30Z,0.282,AbsPressure,104.606
2021-01-15T10:20:40Z,0.27,Temperature,28.83
2021-01-15T10:20:40Z,0.27,Salinity,33.86283129
2021-01-15T10:20:40Z,0.27,AbsPressure,104.485
